name,address,postcode,lat,long,web
Wirksworth Heritage Centre,"31 St. Johns Street, Wirksworth, Derbyshire, DE4 4DS",DE4 4DS,53.0805088626074,-1.57343068401216,www.wirksworthheritagecentre.org
Wollaston Museum,"102 High Street, Wollaston, Northants, NN29 7RJ",NN29 7RJ,52.2576054120894,-0.671080970278567,www.wollastonmuseum.com
Beccles and District Museum,"Leman House, Ballygate, Beccles, Suffolk, NR34 9ND",NR34 9ND,52.4555012383545,1.55978196596191,www.becclesmuseum.org.uk/
John Bunyan Museum and Library,"Bunyan Meeting, Mill Street, Bedford, MK40 3EU",MK40 3EU,52.1368142554196,-0.465437355668325,www.bunyanmeeting.co.uk
Barleylands Craft Village and Farm Centre,"Barleylands Road, Billericay, Essex, CM11 2UD",CM11 2UD,51.6012099171596,0.445506533732301,www.barleylands.co.uk
Art Gallery,"Braintree Town Hall Centre, Market Square, Braintree, CM7 3YG",CM7 3YG,51.8779524256592,0.55335977142321,www.braintree.gov.uk/museum
Braintree District Museum,"Manor Street, Braintree, Essex, CM7 3HW",CM7 3HW,51.8783525158126,0.554399559858878,www.enjoybraintreedistrict.co.uk
Bungay Museum,"Council Offices, Bungay, Suffolk, NR35 1EE",NR35 1EE,52.4570221822686,1.43610962484653
Burnham on Crouch and District Museum,"Coronation Road, Burnham on Crouch, Essex, CM0 8AS",CM0 8AS,51.6252630951156,0.816672765446908,Www.Burnhammuseum.co.uk
Moyse’s Hall Museum,"Cornhill, Bury St Edmunds, Suffolk, IP33 1DX",IP33 1DX,52.2462975887364,0.712865764001156,www.moyseshall.org
West Stow Anglo-Saxon Centre,"The Visitor Centre, Icklingham Road, West Stow, Bury St Edmunds, Suffolk, IP28 6HG",IP28 6HG,52.3115462838921,0.638007145005019,www.stedmundsbury.gov.uk/weststow
Bushey Museum and Art Gallery,"Rudolph Road, Bushey, Hertfordshire, WD23 3HW",WD23 3HW,51.6455177106404,-0.3652679888469,www.busheymuseum.org
Cambridge Museum of Technology,"The Old Pumping Station, Cheddars Lane, Cambridge, CB5 8LD",CB5 8LD,52.2121703527766,0.145644541784601,www.museumoftechnology.com
Kettle’s Yard,"Castle Street, Cambridge, CB3 0AQ",CB3 0AQ,52.2112148150589,0.114903467468319,www.kettlesyard.co.uk
Museum of Cambridge,"2/3 Castle Street, Cambridge, CB3 0AQ",CB3 0AQ,52.2112148150589,0.114903467468319,www.museumofcambridge.org.uk
Sedgwick Museum of Earth Sciences,"University of Cambridge, Downing Street, Cambridge, CB2 3EQ",CB2 3EQ,52.2028864395752,0.121518035647268,www.sedgwickmuseum.org
The Polar Museum,"Scott Polar Research Institute, Lensfield Road, Cambridge, CB2 1ER",CB2 1ER,52.1983579429057,0.126321584407608,www.spri.cam.ac.uk/museum
University Museum of Archaeology and Anthropology,"Downing St, Cambridge, CB2 3DZ",CB2 3DZ,52.2028864395752,0.121518035647268,http://maa.cam.ac.uk
University of Cambridge Museum of Zoology,"Downing St, Cambridge, CB2 3EJ",CB2 3EJ,52.2028864395752,0.121518035647268,www.museum.zoo.cam.ac.uk
Whipple Museum of the History of Science,"Free School Lane, Cambridge, CB2 3RH",CB2 3RH,52.2036950412874,0.119053953976543,www.hps.cam.ac.uk/whipple
Chatteris Museum,"14 Church Lane, Chatteris, Cambridgeshire, PE16 6JA",PE16 6JA,52.4542195096383,0.0514379592234418,www.chatterismuseum.org.uk
Colchester Castle Museum,"Castle Park, Colchester, Essex, CO1 1TJ",CO1 1TJ,51.8907102308051,0.903162115477923,www.cimuseums.org.uk
Hollytrees Museum,"High Street, Colchester, Essex, CO1 1UG",CO1 1UG,51.8901353095472,0.905319827270536,www.cimuseums.org.uk
Natural History Museum,"All Saint’s Church, High Street, Colchester, Essex, CO1 1DN",CO1 1DN,51.8895044721801,0.902822740437215,www.cimuseums.org.uk
Mechanical Music Museum & Bygones,"Blacksmith’s Road, Cotton, Stowmarket, Suffolk, IP14 4QN",IP14 4QN,52.2673313619924,1.02433145635854,www.cottonmusic.co.uk
Cromer Museum,"East Cottages, Tucker Street, Cromer, Norfolk, NR27 9HB",NR27 9HB,52.9313853184364,1.30186842672326,www.norfolk.gov.uk
RNLI Henry Blogg Museum,"The Rocket House, The Gangway, Cromer, Norfolk, NR27 9ET",NR27 9ET,52.9305825380394,1.30292352147887,www.rnli.org/henryblogg
The Munnings Art Museum,"Castle House, Castle Hill, Dedham, Colchester, Essex, CO7 6AZ",CO7 6AZ,51.9499776301715,0.99607871127367
Bressingham Steam,"Bressingham, Diss, Norfolk, IP22 2AB",IP22 2AB,52.384625649285,1.05705353282647,www.bressingham.co.uk
IWM Duxford,"Cambridgeshire, CB22 4QR",CB22 4QR,52.0965263027513,0.136118831409854,www.iwm.org.uk/duxford
Bishop Bonner’s Cottage Museum,"St Withburga Lane, East Dereham, Norfolk, NR19 1ED",NR19 1ED,52.6803626899892,0.938558257480957,www.derehamhistory.com
Moot Hall,"Church End, Elstow, Bedford, MK42 9XT",MK42 9XT,52.1146281069418,-0.469923487846433,www.bedford.gov.uk/moothall
Ely Museum,"The Old Gaol, Market Street, Ely, Cambridgeshire, CB7 4LS",CB7 4LS,52.4002847477248,0.264366489600689,www.elymuseum.org.uk
Stained Glass Museum,"South Triforium, Ely Cathedral, Ely, Cambridgeshire, CB7 4DL",CB7 4DL,52.3979014449088,0.263921053448695,www.stainedglassmuseum.com
